doi,title,abstract
10.1007/s10522-024-10143-5,The evolution of ageing: classic theories and emerging ideas.,"Ageing is generally regarded as a non-adaptive by-product of evolution. Based on this premise three classic evolutionary theories of ageing have been proposed. These theories have dominated the literature for several decades. Despite their individual nuances, the common thread which unites them is that they posit that ageing results from a decline in the intensity of natural selection with chronological age. Empirical evidence has been identified which supports each theory. However, a consensus remains to be fully established as to which theory best accounts for the evolution of ageing. A consequence of this uncertainty are counter arguments which advocate for alternative theoretical frameworks, such as those which propose an adaptive origin for ageing, senescence, or death. Given this backdrop, this review has several aims. Firstly, to briefly discuss the classic evolutionary theories. Secondly, to evaluate how evolutionary forces beyond a monotonic decrease in natural selection can affect the evolution of ageing. Thirdly, to examine alternatives to the classic theories. Finally, to introduce a pluralistic interpretation of the evolution of ageing. The basis of this pluralistic theoretical framework is the recognition that certain evolutionary ideas will be more appropriate depending on the organism, its ecological context, and its life history."
10.1016/j.exger.2010.09.007,The reproductive-cell cycle theory of aging: an update.,"The Reproductive-Cell Cycle Theory posits that the hormones that regulate reproduction act in an antagonistic pleiotrophic manner to control aging via cell cycle signaling; promoting growth and development early in life in order to achieve reproduction, but later in life, in a futile attempt to maintain reproduction, become dysregulated and drive senescence. Since reproduction is the most important function of an organism from the perspective of the survival of the species, if reproductive-cell cycle signaling factors determine the rate of growth, determine the rate of development, determine the rate of reproduction, and determine the rate of senescence, then by definition they determine the rate of aging and thus lifespan. The theory is able to explain: 1) the simultaneous regulation of the rate of aging and reproduction as evidenced by the fact that environmental conditions and experimental interventions known to extend longevity are associated with decreased reproductive-cell cycle signaling factors, thereby slowing aging and preserving fertility in a hostile reproductive environment; 2) two phenomena that are closely related to species lifespan-the rate of growth and development and the ultimate size of the animal; 3). the apparent paradox that size is directly proportional to lifespan and inversely proportional to fertility between species but vice versa within a species; 4). how differing rates of reproduction between species is associated with differences in their lifespan; 5). why we develop aging-related diseases; and 6). an evolutionarily credible reason for why and how aging occurs-these hormones act in an antagonistic pleiotrophic manner via cell cycle signaling; promoting growth and development early in life in order to achieve reproduction, but later in life, in a futile attempt to maintain reproduction, become dysregulated and drive senescence (dyosis). In essence, the Reproductive-Cell Cycle Theory can explain aging in all sexually reproductive life forms."
10.3390/cells11050917,A Mechanistic Theory of Development-Aging Continuity in Humans and Other Mammals.,"There is consensus among biogerontologists that aging occurs either as the result of a purposeful genome-based, evolved program or due to spontaneous, randomly occurring, maladaptive events. Neither concept has yet identified a specific mechanism to explain aging's emergence and acceleration during mid-life and beyond. Presented herein is a novel, unifying mechanism with empirical evidence that describes how aging becomes continuous with development. It assumes that aging emerges from deterioration of a regulatory process that directs morphogenesis and morphostasis. The regulatory system consists of a genome-wide ""backbone"" within which its specific genes are differentially expressed by the local epigenetic landscapes of cells and tissues within which they reside, thereby explaining its holistic nature. Morphostasis evolved in humans to ensure the nurturing of dependent offspring during the first decade of young adulthood when peak parental vitality prevails in the absence of aging. The strict redundancy of each morphostasis regulatory cycle requires sensitive dependence upon initial conditions to avoid initiating deterministic chaos behavior. However, when natural selection declines as midlife approaches, persistent, progressive, and specific DNA damage and misrepair changes the initial conditions of the regulatory process, thereby compromising morphostasis regulatory redundancy, instigating chaos, initiating senescence, and accelerating aging thereafter."
10.1016/j.arr.2021.101557,The hyperfunction theory: An emerging paradigm for the biology of aging.,"The process of senescence (aging) is predominantly determined by the action of wild-type genes. For most organisms, this does not reflect any adaptive function that senescence serves, but rather evolutionary effects of declining selection against genes with deleterious effects later in life. To understand aging requires an account of how evolutionary mechanisms give rise to pathogenic gene action and late-life disease, that integrates evolutionary (ultimate) and mechanistic (proximate) causes into a single explanation. A well-supported evolutionary explanation by G.C. Williams argues that senescence can evolve due to pleiotropic effects of alleles with antagonistic effects on fitness and late-life health (antagonistic pleiotropy, AP). What has remained unclear is how gene action gives rise to late-life disease pathophysiology. One ultimate-proximate account is T.B.L. Kirkwood's disposable soma theory. Based on the hypothesis that stochastic molecular damage causes senescence, this reasons that aging is coupled to reproductive fitness due to preferential investment of resources into reproduction, rather than somatic maintenance. An alternative and more recent ultimate-proximate theory argues that aging is largely caused by programmatic, developmental-type mechanisms. Here ideas about AP and programmatic aging are reviewed, particularly those of M.V. Blagosklonny (the hyperfunction theory) and J.P. de Magalhães (the developmental theory), and their capacity to make sense of diverse experimental findings is assessed."
10.1038/s41556-025-01698-7,An overview of contemporary theories of ageing.,"Ageing is a complex biological process whose underlying mechanisms remain contentious. Nonetheless, due to an ageing global population and the rising incidence of age-related diseases, understanding why we age is one of the most important scientific questions of our time, with profound medical implications. Here, I explore the fundamental nature of the ageing process and provide an overview of modern mechanistic theories. I critically examine two main groups of ageing theories: error-based and program-based theories. I discuss the relevance of these theories in the context of ageing patterns, genetic manipulations and longevity drugs, highlighting how experimental challenges and technological limitations have hindered progress. Overall, there is a pressing and unmet need for a robust theoretical framework in ageing research. Elucidating the cellular and molecular mechanisms of ageing would be crucial for developing effective interventions that slow the ageing process and prevent its associated diseases."
10.1038/s43587-023-00527-6,The Information Theory of Aging.,"Information storage and retrieval is essential for all life. In biology, information is primarily stored in two distinct ways: the genome, comprising nucleic acids, acts as a foundational blueprint and the epigenome, consisting of chemical modifications to DNA and histone proteins, regulates gene expression patterns and endows cells with specific identities and functions. Unlike the stable, digital nature of genetic information, epigenetic information is stored in a digital-analog format, susceptible to alterations induced by diverse environmental signals and cellular damage. The Information Theory of Aging (ITOA) states that the aging process is driven by the progressive loss of youthful epigenetic information, the retrieval of which via epigenetic reprogramming can improve the function of damaged and aged tissues by catalyzing age reversal."
10.1038/s41576-018-0004-3,DNA methylation-based biomarkers and the epigenetic clock theory of ageing.,"Identifying and validating molecular targets of interventions that extend the human health span and lifespan has been difficult, as most clinical biomarkers are not sufficiently representative of the fundamental mechanisms of ageing to serve as their indicators. In a recent breakthrough, biomarkers of ageing based on DNA methylation data have enabled accurate age estimates for any tissue across the entire life course. These 'epigenetic clocks' link developmental and maintenance processes to biological ageing, giving rise to a unified theory of life course. Epigenetic biomarkers may help to address long-standing questions in many fields, including the central question: why do we age?"
10.1042/CS20160897,Redox theory of aging: implications for health and disease.,"Genetics ultimately defines an individual, yet the phenotype of an adult is extensively determined by the sequence of lifelong exposures, termed the exposome. The redox theory of aging recognizes that animals evolved within an oxygen-rich environment, which created a critical redox interface between an organism and its environment. Advances in redox biology show that redox elements are present throughout metabolic and structural systems and operate as functional networks to support the genome in adaptation to environmental resources and challenges during lifespan. These principles emphasize that physical and functional phenotypes of an adult are determined by gene-environment interactions from early life onward. The principles highlight the critical nature of cumulative exposure memories in defining changes in resilience progressively during life. Both plasma glutathione and cysteine systems become oxidized with aging, and the recent finding that cystine to glutathione ratio in human plasma predicts death in coronary artery disease (CAD) patients suggests this could provide a way to measure resilience of redox networks in aging and disease. The emerging concepts of cumulative gene-environment interactions warrant focused efforts to elucidate central mechanisms by which exposure memory governs health and etiology, onset and progression of disease."
10.3389/fcell.2021.671208,The Danaid Theory of Aging.,"The classical evolutionary theories of aging suggest that aging evolves due to insufficient selective pressure against it. In these theories, declining selection pressure with age leads to aging through genes or resource allocations, implying that aging could potentially be stalled were genes, resource allocation, or selection pressure somewhat different. While these classical evolutionary theories are undeniably part of a description of the evolution of aging, they do not explain the diversity of aging patterns, and they do not constitute the only possible evolutionary explanation. Without denying selection pressure a role in the evolution of aging, we argue that the origin and diversity of aging should also be sought in the nature and evolution of organisms that are, from their very physiological make up, unmaintainable. Drawing on advances in developmental biology, genetics, biochemistry, and complex systems theory since the classical theories emerged, we propose a fresh evolutionary-mechanistic theory of aging, the Danaid theory. We argue that, in complex forms of life like humans, various restrictions on maintenance and repair may be inherent, and we show how such restrictions are laid out during development. We further argue that there is systematic variation in these constraints across taxa, and that this is a crucial factor determining variation in aging and lifespan across the tree of life. Accordingly, the core challenge for the field going forward is to map and understand the mosaic of constraints, trade-offs, chance events, and selective pressures that shape aging in diverse ways across diverse taxa."
10.1016/j.mad.2021.111583,The tumor suppression theory of aging.,"Despite continued increases in human life expectancy, the factors determining the rate of human biological aging remain unknown. Without understanding the molecular mechanisms underlying aging, efforts to prevent aging are unlikely to succeed. The tumor suppression theory of aging introduced here proposes somatic mutation as the proximal cause of aging, but postulates that oncogenic transformation and clonal expansion, not functional impairment, are the relevant consequences of somatic mutation. Obesity and caloric restriction accelerate and decelerate aging due to their effect on cell proliferation, during which most mutations arise. Most phenotypes of aging are merely tumor-suppressive mechanisms that evolved to limit malignant growth, the dominant age-related cause of death in early and middle life. Cancer limits life span for most long-lived mammals, a phenomenon known as Peto's paradox. Its conservation across species demonstrates that mutation is a fundamental but hard limit on mammalian longevity. Cell senescence and apoptosis and differentiation induced by oncogenes, telomere shortening or DNA damage evolved as a second line of defense to limit the tumorigenic potential of clonally expanding cells, but accumulating senescent cells, senescence-associated secretory phenotypes and stem cell exhaustion eventually cause tissue dysfunction and the majority, if not most, phenotypes of aging."
